price,fullbath,halfbath,squarefe,acres,age,cbddist,hamburgd,fayettem,parkdist,bedrooms
125000,2,0,1968,0.1652999967,38,2.388542175,6.519485474,2.274869442,0.4944224358,6
104000,1,1,1478,0.3102999926,35,2.985421181,6.992600441,2.220416307,0.6926291585,4
85000,2,0,1582,0.2213000059,38,2.68676281,6.739820004,2.198406458,0.5714644194,6
114000,2,0,1594,0.2099000067,38,2.758993387,6.748844147,2.094580412,0.6949129105,5
93000,2,0,1582,0.1652999967,37,2.985815048,7.14761734,2.565425396,0.3919891417,6
2000,2,2,2816,0.1652999967,36,2.97971034,7.144011497,2.568428755,0.3916566074,10
265000,2,0,3264,0.3569999933,0,3.401673079,7.799257278,3.472734451,0.331693083,10
91000,1,0,975,0.1775999963,38,2.575489283,6.714891434,2.345579147,0.4099154174,4
89900,1,0,1053,0.1474000067,39,2.457571745,6.586440086,2.287905216,0.474585861,4
60000,1,0,1124,0.1717000008,39,2.710328579,6.915295124,2.546124458,0.2360360026,4
89500,1,0,975,0.1652999967,38,2.492413282,6.632190228,2.320886374,0.4389849007,4
154000,2,1,2072,0.1780000031,9,2.910553694,6.886461735,2.123794556,0.7408598065,6
102700,1,1,1377,0.1791000068,37,3.174173832,7.300201416,2.577495098,0.324632585,4
80000,1,0,2030,0.2696999907,37,3.140734434,7.247898102,2.515842199,0.3875698149,4
90000,1,0,1175,0.1612000018,38,2.804597616,6.878643036,2.285947561,0.5324693918,4
105000,2,2,2268,0.2158000022,36,2.976559639,7.070887089,2.404946089,0.5315320492,6
109900,1,1,1726,0.1512999982,38,2.907388926,7.019570351,2.413454294,0.4862079322,5
90000,1,0,1524,0.2162999958,38,2.772407293,6.832547665,2.243824482,0.5568662882,6
72200,1,0,992,0.2222000062,39,2.668218136,6.754943848,2.262734652,0.5032105446,4
85000,1,0,1026,0.1652999967,37,2.9039886,6.948744774,2.264082909,0.6119263768,4
114000,1,0,1469,0.1500999928,37,2.913838863,6.964913368,2.281831264,0.6030905247,5
81500,1,0,1025,0.1835000068,37,2.801743507,6.85255146,2.235306978,0.5786318779,4
105000,2,0,1521,0.1652999967,39,2.577956915,6.742949009,2.403373718,0.3522147834,4
98000,2,0,1582,0.3305999935,36,2.986373425,7.147945881,2.56514883,0.3920220137,6
96000,1,0,1300,0.1860000044,40,2.753027916,6.930868149,2.498761892,0.3042337596,5
95000,1,0,1439,0.1652999967,38,2.652680397,6.749650002,2.279280186,0.4834614992,4
58000,2,0,3264,0.3569999933,0,3.401673079,7.799257278,3.472734451,0.331693083,10
111000,2,0,1865,0.1652999967,38,2.64230752,6.746136665,2.290470839,0.4704036415,3
145000,2,0,2362,0.2610999942,37,2.657531261,6.708717346,2.184914112,0.5784648657,6
128000,1,1,1770,0.2136999965,39,2.668968201,6.885147572,2.556778431,0.2084987313,5
94500,1,0,1146,0.1736000031,39,2.907403231,7.065895081,2.520382881,0.401111722,4
24000,1,0,1225,0.2676999867,37,2.947231531,7.093666077,2.510561228,0.4438088536,5
350000,2,0,3154,0.3443999887,2,3.378923655,7.7222929,3.27879262,0.2072575241,7
99500,1,0,1026,0.1788000017,37,2.619667768,6.665548325,2.162254572,0.5956141949,4
113000,1,1,1726,0.1928000003,40,2.761546612,6.935813904,2.493851662,0.3138031363,5
43950,2,0,1712,0.1728000045,36,3.024182081,7.193940163,2.60353303,0.3465809822,6
67000,2,0,1053,0.248300001,37,3.182216644,7.312600613,2.592092514,0.3097546399,3
297300,1,0,1405,0.287800014,49,2.177753448,6.258542061,2.14127183,0.6771858335,4
85000,2,0,975,0.1625999957,37,2.577660084,6.555665016,2.017547846,0.7379045486,3
100000,2,0,1712,0.2100999951,33,3.019776821,6.971132755,2.121105194,0.7817168832,6
97075,1,0,1294,0.2056999952,37,2.669516087,6.702800274,2.15221405,0.6132642627,4
85000,2,0,975,0.2102999985,37,2.66787982,6.707192898,2.163949013,0.6012991667,3
97200,2,0,1849,0.2038999945,34,2.966568947,7.011059284,2.291021347,0.6336240172,4
96000,1,1,1422,0.1801999956,38,2.619931936,6.695207596,2.222752094,0.535158813,4
125000,1,1,1722,0.1979999989,34,3.007680416,7.08122921,2.373372078,0.5485698581,5
82300,1,0,1050,0.1791000068,37,3.145837545,7.271753311,2.562058926,0.3438559771,4
84900,1,1,1107,0.2470999956,38,2.624821186,6.606906891,2.03768301,0.7202912569,4
116500,1,1,1242,0.2381000072,38,2.855554819,6.971106529,2.398330688,0.4609596431,4
97900,1,0,1499,0.1548999995,38,2.772540092,6.91251564,2.418976545,0.3902800083,4
107500,1,1,1594,0.1652999967,37,2.695801735,6.701012611,2.104179382,0.6665718555,5
116500,1,1,1594,0.3068000078,37,2.953545094,7.033359051,2.362030029,0.5648126602,5
101500,2,0,1582,0.1652999967,37,3.029772758,7.155146122,2.501289129,0.4311437011,6
110900,1,1,1507,0.174999997,38,2.770079851,6.779628754,2.138123989,0.6571977735,4
387900,3,0,3428,0.3605999947,1,3.182436466,7.612127781,3.454881668,0.1957318336,6
80000,1,0,1053,0.1652999967,39,2.502102137,6.644818306,2.330069304,0.4291656613,4
108500,1,1,1572,0.1652999967,38,2.482054949,6.618642807,2.311070442,0.4495247304,6
122900,1,0,2100,0.1652999967,39,2.617043972,6.792215347,2.440176487,0.3164126873,4
100000,1,0,1405,0.1691000015,38,2.542406321,6.58759737,2.138975143,0.6173099279,5
121800,1,1,1752,0.2319000065,38,2.903436899,7.044897079,2.478699684,0.4300338626,6
89500,1,0,1050,0.2023999989,39,2.539105415,6.666932106,2.308971405,0.4479190409,4
84500,1,0,1128,0.2432000041,38,2.64099884,6.63374424,2.062895298,0.6970871687,4
